Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1241586,-,-,-,39.33,-74.1,-5,0,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Month,Day,Hour,Minute,Cloud Type,Dew Point,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,6,0,0,-7.9,0,3.6,0.2,304,69.38,-3.1,1028,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,6,30,0,-7.9,0,3.3,0.2,307,69.38,-3.1,1028,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,7,0,0,-8.7,0,3,0.2,309,65.12,-3.1,1028,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,7,30,0,-8.7,0,2.7,0.2,311,63.69,-2.8,1028,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,8,0,0,-9.3,0,2.4,0.2,312,59.69,-2.5,1028,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,8,30,0,-9.3,0,2.2,0.3,314,58.38,-2.2,1028,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,9,0,0,-10.3,0,2,0.3,316,52.88,-1.9,1028,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,9,30,0,-10.3,0,1.6,0.3,322,51.72,-1.6,1028,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,10,0,0,-11.3,0,1.3,0.3,327,47,-1.4,1027,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,10,30,0,-11.3,0,1,0.3,323,46.31,-1.2,1027,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,11,0,0,-11.7,0,0.7,0.3,319,44.14,-1,1026,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,11,30,7,-11.7,0,0.7,0.3,241,42.87,-0.6,1026,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,12,0,7,-11.4,0,0.7,0.4,163,42.6,-0.2,1025,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,12,30,7,-11.4,0,0.9,0.4,155,41.39,0.2,1025,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,13,0,7,-10.4,0,1.1,0.4,147,43.47,0.6,1025,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,13,30,7,-10.4,0,1.4,0.4,129,42.5,0.9,1024,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,14,0,7,-8.7,0,1.6,0.4,110,47.55,1.2,1023,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,14,30,7,-8.7,0,2,0.5,94,46.82,1.4,1022,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,15,0,0,-6.3,0,2.5,0.5,78,55.27,1.7,1022,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,15,30,0,-6.3,0,2.2,0.5,88,55.67,1.6,1022,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,16,0,4,-6.1,0,1.9,0.6,98,57.12,1.5,1022,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,16,30,4,-6.1,0,2.3,0.6,87,56.65,1.6,1021,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,17,0,4,-4.6,0,2.6,0.7,77,63.14,1.7,1021,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,17,30,4,-4.6,0,3,0.8,67,62.63,1.8,1020,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,18,0,4,-3.3,0,3.3,0.8,58,68.13,2,1019,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,18,30,7,-3.3,0,3.3,0.8,58,68.13,2,1019,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,19,0,7,-2.4,0,3.5,1,61,71.35,2.3,1019,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
